title;artist;link
Умри, если меня не любишь;DAKOOKA;https://music.yandex.ru/album/20230426/track/97864007
Выходи из воды сухим;DAKOOKA;https://music.yandex.ru/album/20230426/track/97864008
The Less I Know The Better;Tame Impala;https://music.yandex.ru/album/2856531/track/24488815
Hymn;Rhye;https://music.yandex.ru/album/5788263/track/43492423
Churchyard;AURORA;https://music.yandex.ru/album/5803430/track/43576018
Герда;алёна швец.;https://music.yandex.ru/album/22917277/track/105670070
Колыбельная;Женя Любич;https://music.yandex.ru/album/4043592/track/32471657
Клеопатри;Пошлая Молли;https://music.yandex.ru/album/9928325/track/62774313
Жулик;Green Apelsin;https://music.yandex.ru/album/22930973/track/105707568
Люди;Дайте танк (!);https://music.yandex.ru/album/12283581/track/71508281
Вино и сигареты;алёна швец.;https://music.yandex.ru/album/10132347/track/63606806
Крылья;лампабикт;https://music.yandex.ru/album/22442794/track/104354827
Охота на лисицу;Green Apelsin;https://music.yandex.ru/album/18838613/track/93480506
Зло;Электрофорез;https://music.yandex.ru/album/13408029/track/76024903
Равнодушие;МАЛЬБЭК, Сюзанна;https://music.yandex.ru/album/4249963/track/34483759
Sweater Weather;The Neighbourhood;https://music.yandex.ru/album/517313/track/4606376
Разгоняю Тьму;Лилу45;https://music.yandex.ru/album/20531190/track/98689265
первое свидание;алёна швец.;https://music.yandex.ru/album/13441525/track/73439865
Девочка и Море;polnalyubvi;https://music.yandex.ru/album/11992403/track/70779753
Люби меня люби;гречка;https://music.yandex.ru/album/4939138/track/38572747
Я и твой кот;Свидание;https://music.yandex.ru/album/2805984/track/51906285
Месяц;Palina;https://music.yandex.ru/album/20901662/track/99882594
bellyache;Billie Eilish;https://music.yandex.ru/album/4923330/track/33894103
Восемь;Лилу45;https://music.yandex.ru/album/16293268/track/80408246
Попал пацан под санкции;Вася Обломов;https://music.yandex.ru/album/22889168/track/105598128
Зеркало;WE, лэривэйн;https://music.yandex.ru/album/8378537/track/64440617
lovely;Billie Eilish, Khalid;https://music.yandex.ru/album/5274125/track/40548548
Каждый раз;Монеточка;https://music.yandex.ru/album/5393158/track/41249159
Swim;Chase Atlantic;https://music.yandex.ru/album/4713902/track/37252143
Остров;Мы;https://music.yandex.ru/album/5768836/track/43504512
Татарин;АИГЕЛ;https://music.yandex.ru/album/4390229/track/51332341
Подбухну;БИРТМАН;https://music.yandex.ru/album/9047853/track/59171695
Утро;Дайте танк (!);https://music.yandex.ru/album/12348427/track/34942045
Сирена;polnalyubvi;https://music.yandex.ru/album/22354052/track/104117715
магия;ooes;https://music.yandex.ru/album/19706970/track/96242218
Friends;Chase Atlantic;https://music.yandex.ru/album/9123034/track/59504919
молоды;SENSOR;https://music.yandex.ru/album/22263602/track/103849880
Любовь;ЭЛЕКТРОЦОЙ;https://music.yandex.ru/album/20267230/track/97954976
Тени;grust200;https://music.yandex.ru/album/22216267/track/103699576
письмо;breskina;https://music.yandex.ru/album/22603089/track/104806037
Так не хочется революции;Плейлист Венкова;https://music.yandex.ru/album/22791141/track/88478433
Illusionist;ЛЮТИК;https://music.yandex.ru/album/22909002/track/105647861
Rest My Chemistry;Interpol;https://music.yandex.ru/album/28420/track/281259
Golden Skans;Klaxons;https://music.yandex.ru/album/2155/track/25490
Happy Idiot;TV On The Radio;https://music.yandex.ru/album/2352548/track/19053218
Край;Второй этаж поражает;https://music.yandex.ru/album/22584039/track/104741240
Фонари;victór;https://music.yandex.ru/album/22109091/track/103369642
ККН;Второй этаж поражает;https://music.yandex.ru/album/22635231/track/104897862
Ты уже здесь;ДОЧЬ;https://music.yandex.ru/album/22280603/track/103898551
Сквозь туман;Саша Шевцова;https://music.yandex.ru/album/22213873/track/103693234
Заря;Лена Август;https://music.yandex.ru/album/22913431/track/105660022
Без обид;Lalila;https://music.yandex.ru/album/21265108/track/101024672
Не горит;РЯДОМ;https://music.yandex.ru/album/22764414/track/105264427
Пушкин;Завтраккусто;https://music.yandex.ru/album/22497001/track/104510409
Но луна была такая;Где-то там;https://music.yandex.ru/album/22531949/track/104599567
Снегири;Культурное Наследие;https://music.yandex.ru/album/22411712/track/104274740
Спаси;Afelia;https://music.yandex.ru/album/22560259/track/104678777
Фидбэк;Плейлист Венкова;https://music.yandex.ru/album/21507630/track/101771848
грёзы;bessonnitsa;https://music.yandex.ru/album/22411840/track/104275939
In the Sky;Алекс Обухов;https://music.yandex.ru/album/22653925/track/104961128
Ода;Второй этаж поражает;https://music.yandex.ru/album/22335627/track/104062942
Я И Я;Struk Tu Ra;https://music.yandex.ru/album/22778139/track/105298906
My Bike;FLAMASTER;https://music.yandex.ru/album/22643790/track/104929565
Я уже не та;MÁRIS;https://music.yandex.ru/album/22300330/track/103954915
Секрет;Культурное Наследие, Стереополина;https://music.yandex.ru/album/22344632/track/104094370
Сто из ста случаев;sex1minute;https://music.yandex.ru/album/22846142/track/105468109
Патриотизм;Alex Ricellow;https://music.yandex.ru/album/22544701/track/104635517
миражи;ани ковальски;https://music.yandex.ru/album/22849568/track/105477440
Мои тайные желания;катя милтей;https://music.yandex.ru/album/22615858/track/104846103
Город;Морфинизм Пыльцы;https://music.yandex.ru/album/22541321/track/104622002
Лицом к лицу;Андреграунд;https://music.yandex.ru/album/22556300/track/104666244
Море Питера;Чё Морале;https://music.yandex.ru/album/22549302/track/104650510
